,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
16,Data Analyst,$48K - $72K (Glassdoor est.),"Morton Buildings, Inc. is the industry leader in post-frame construction. We have been in business for 120 years and have more than 10 manufacturing, fabrication, and shipping plants servicing over 100 construction centers nationwide. Per year, across America, thousands of new buildings sport the familiar Morton M.
The Data Analyst is responsible for analyzing and interpreting complex datasets related to operations. The Data Analyst will transform data and deliver actionable insights that support strategic decision-making.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",3.9 ★,"Morton Buildings, Inc.3.9 ★","Morton, IL",-1,1001 to 5000 Employees,1903,Company - Private,Construction,"Construction, Repair & Maintenance Services",$100 to $500 million (USD),-1
17,Data Analyst,$38.00 - $40.00 Per Hour (Employer est.),"Data Analyst
This is a Hybrid Role, minimum 2 days one week onsite/3 days next week onsite
Work Schedule: Mon - Fri, Business Hours
Perform the following assigned tasks:
o Creation of Bill of Specifications in SPS as directed by the GPT Package Engineer.
o Revision of Bill of Specifications as directed by the Package Engineer, Label Copy Coordinator or Packaging Site.
o Route Bill of Specifications for approval as per GPT Standard Operating Procedures.
o Creation of SAP Material Master Data in the Global Product Data Base (GPDV).
o Revision of SAP Product unit of measures in the C-Mat system.
o Management of GPT Standard Operating Procedures in the DCA system.
o Management of GPT Procedural Documents in accordance with GPT SOP’s.
o Perform periodic user acceptance testing and system verification on the SPS system due to upgrades or
enhancements.",5.0 ★,Codetru5.0 ★,"North Brunswick, NJ",-1,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
18,eCommerce Data Analyst,$44K - $68K (Glassdoor est.),"Position Summary:
The eCommerce Data Analyst will leverage data to inform strategic decisions pertaining to the eCommerce business and overall cross-channel customer digital experience. This role demands an individual who is dedicated to ongoing, proactive learning. As an analyst, you will collaborate with different applications and systems to input and extract information, analyze data, and investigate trends and anomalies. In addition, the analyst will assist internal clients by providing analytical insights, addressing ad-hoc queries, and facilitating data/report education and training.
Responsibilities:
Collaborate with digital stakeholders to expand and analyze performance reporting, and implement measures that support the teams' strategic objectives",3.8 ★,American Freight Management Company3.8 ★,"Delaware, OH",-1,10000+ Employees,1977,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,$5 to $10 billion (USD),-1
19,Business Analyst - Mid level,$54K - $58K (Employer est.),"We are seeking a mid-level Business Analyst who will be responsible for managing business analysis work or projects with specific deliverables toward a solution. Your role may encompass various job titles, such as Functional Analyst, Solution/Business Architect, Work Stream Lead, or Deployment Lead.
This position requires the ability to work independently, provide limited leadership to others, and manage medium-complexity work efforts. Industry experience may be beneficial for this role.
Responsibilities:
Manage business analysis work or projects, ensuring the timely delivery of defined solutions.
Identify and document business processes, issues, value levers, metrics, and capabilities.",4.7 ★,Accel BI4.7 ★,Remote,-1,1 to 50 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),-1
20,Data Analyst,$72K (Employer est.),"MUST BE LOCATED IN: Indianapolis, IN OR Dayton, OH
The Customer Analytics Advisor is a new position within Customer Care to enhance our ability to deliver customer centered decision making. This position will deliver advanced data analytics to inform decision making and create visibility to customer needs. This position will support both current efforts and future efforts in the evaluation of programs, customer support, opportunities and advancements in our customer experience. Customers are the future of energy, this position is pivotal in advancing our ability to ensure forward making progress in becoming an exceptional utility.
Main Responsibilities:
Provides deep analysis on customer patterns identifying trends and opportunities to improve service delivery.",3.7 ★,AES Corporation3.7 ★,"Dayton, OH",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
21,Junior Data Analyst,$44K - $64K (Glassdoor est.),"Matrix is an innovative technology company that designs, manufactures, and sells products and services focused on helping employers and employees work smarter and safer. Originally focused on the United States' underground coal mining industry, Matrix has expanded into industrial markets in both the United States and around the globe.
The work of Matrix's data analytics group, Matrix Analytics, is led by a growing team of members based out of Lexington, Kentucky. Matrix Analytics projects are geared toward integrating hardware, software, and analytics solutions to successfully meet the needs of Matrix's clients and include work with the international subsidiaries of Matrix.
The Junior Data Analyst assist the analytics team in collecting and interpreting data to help a company take actionable steps to improve their performance and meet goals. Their duties include gathering company information and statistics, building reports to be presented to executives and finding ways to improve a company's efficiencies using gathered data. As an entry-level employee, the Junior Data Analyst is expected to work as a cohesive member of the Matrix Analytics team.",5.0 ★,Matrix Design Group5.0 ★,"Lexington, KY",-1,51 to 200 Employees,-1,Subsidiary or Business Segment,Mining & Metals,"Energy, Mining & Utilities",$25 to $100 million (USD),-1
22,Apprentice IT (Data Analyst),$61K - $93K (Glassdoor est.),"Nestlé Information Technology is the digital arm of the world’s largest nutrition, health, and wellness company. With 150+ years in business, 2,000+ brands, and 270,000+ diverse team members—you’re joining an organization that’s revolutionizing food and championing global humanitarian efforts with technology at its core.

Joining Nestlé IT means you’ll never stop learning and sharpening new skills. Tools, technologies, and innovation for the next generation of food is part of it. Working with team members from different cultures and corners of the world on truly meaningful initiatives is what makes our work inspiring. Think beyond technology. Feel like you belong. Join a Force for Good.

This position is not eligible for Visa Sponsorship.
Position Summary

The Data Analyst Apprenticeship is an entry-level position within Nestlé IT geared toward building upon the foundations of a career as a Data Analyst. As an Apprentice, you will complete the Open Classrooms Data Analyst Registered Apprenticeship training program while simultaneously working for Nestlé IT in the context of a 12-month contingent contract. You will earn a stipend during the training program. The program rhythm consists of one day of online technical training, working one-on-one with a mentor, and four days of on-the-job training per week. The 12-month competency-based training program includes on-the-job training and a technical training program.",4.1 ★,Nestlé IT4.1 ★,"Solon, OH",-1,10000+ Employees,1867,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
23,Data Analyst,$58K - $90K (Glassdoor est.),"Infinite Care Consulting Services is now hiring a full-time Data Analyst. The Data Analyst is responsible for performing daily functions of the Finance Department at Infinite Care. Our office is located in Saddlebrook, NJ.
With a network of locations across the nation, Infinite Care is an established and leading chain of top-quality rehabilitation centers. The Data Analyst will coordinate and prepare analytical information for over 50+ long term care centers located throughout Florida and New York.
COMPREHENSIVE BENEFITS FOR INFINITE CARE EMPLOYEES:
Health Insurance
Dental Insurance
Vision Insurance",2.7 ★,Infinite Care2.7 ★,"Saddle Brook, NJ",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
24,Senior Data Analyst,$55.00 - $60.00 Per Hour (Employer est.),"Responsibilities
Develop, implement, and maintain leading-edge analytic reports, taking complicated problems and building simple frameworks
Identify trends and opportunities for growth through analysis of complex data sets
Create best-practice reports based on data mining, analysis, and visualization
Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data
Work directly with management and users to gather requirements, provide status updates, and build relationships",-1,TSYS Technologies,"Ridgefield, NJ",-1,-1,-1,-1,-1,-1,-1,-1
25,Talent Data Analyst,$75K - $80K (Employer est.),"The safety and wellbeing of our customers and employees is our top priority. Most of our Corporate office operates remotely as we continue to closely monitor COVID-19 updates at the national and local levels (some positions may operate on-site).
Populus is an amazing company where our employees stay because they love their teams and the growth opportunities. Additionally, we offer a competitive 401K match, a generous paid time off package, and Health Benefits.
Our mission is to provide a broad range of quality financial products and services delivered with best-in-class customer service. We work and lead with integrity, and we celebrate employees who exemplify our values. Come join our team!
The Talent Data Analyst is responsible for collecting, structuring/designing, and interpreting Talent Acquisition (TA) data sets to identify possible trends, provide actionable insights, and lead to solutions that support the company’s strategic initiatives. The Talent Analyst will lead analysis for target market plans, Voice of the Employee (VoE) survey feedback, and other programs such as our Employee Referral Bonus Program (ERBP) and LinkedIn Learning development program, as well as maintain routine reporting and assist with streamlining and developing new reporting. The Talent Data Analyst will also research job requirements and evaluate positions to ensure that the company is competitive in the areas of salaries, employee benefits, etc.",3.7 ★,Populus Financial Group3.7 ★,"Irving, TX",-1,1001 to 5000 Employees,-1,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1
26,Data Analyst,$60K - $86K (Glassdoor est.),"Role: :Data Analyst:
Location: :: Washington, DC Or Reston, VA (Onsite occasional only for meeting):
Duration: :12+ Months (With further extension possibilities):
Job Responsibilities:
You should be comfortable liaising with business stakeholders to understand and document requirements, as well as facilitating walkthroughs of deliverables with technology partners/development team.
Need experience with on Data Analysis.
Expertise reviewing SQL scripts, capturing, and translating requirements and creating source-to-target mapping documents.",5.0 ★,CEDENT5.0 ★,"Reston, VA",-1,1 to 50 Employees,-1,Contract,Computer Hardware Development,Information Technology,Less than $1 million (USD),-1
27,Data Analyst,$50.00 - $60.00 Per Hour (Employer est.),"Data Analyst/Modeler
Location – CO: BROOMFIELD - 1025 ELDORADO BLVD, INTERLOCKEN 4000
Description:
Develops data models to meet the needs of the organization's information systems.
Manages the flow of information between departments through the use of relational databases.
Maintains data integrity by working to eliminate redundancy.
Stays informed of the ways the organization uses its data.
2-4 years of experience",4.3 ★,CT Solutions4.3 ★,"Broomfield, CO",-1,51 to 200 Employees,-1,Company - Private,Beauty & Wellness,Personal Consumer Services,Less than $1 million (USD),-1
28,Data Analyst,$54K - $83K (Glassdoor est.),"Job Summary:
Our company is seeking an experienced data analyst with expertise in Salesforce to join our team. The successful candidate will be responsible for analyzing and interpreting complex data sets, generating insights, and providing recommendations to drive business growth. As a data analyst, you will work closely with various stakeholders, including finance, membership, and customer service teams, to ensure data accuracy and consistency, develop reports, and dashboards, and help optimize our Salesforce system.
Responsibilities:
Work with stakeholders to identify and define business problems and data requirements
Collect, analyze, and interpret complex data sets using various analytical tools",3.6 ★,Critical Capital Solutions3.6 ★,"Philadelphia, PA",-1,501 to 1000 Employees,1996,Company - Public,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),-1
29,Data Analyst,$55K - $84K (Glassdoor est.),"We are looking for a passionate and highly skilled Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.
RESPONSIBILITIES:
Set and deliver the vision and agenda for Business Analytics for the organization
Work with stakeholders to understand business needs, establishing a portfolio that will drive cost savings, revenue growth and continuous improvement
Develop and implement data analyses, data collection systems and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases
Lead development of analytic models to derive actionable insights that will have high business impact",3.3 ★,Raphael and Associates3.3 ★,"Rutherford, NJ",-1,51 to 200 Employees,-1,Company - Private,Insurance Carriers,Insurance,$5 to $25 million (USD),-1
30,Data Analyst,$49K - $70K (Glassdoor est.),"Chicago Fire Football Club is a Major League Soccer team that was founded in 1997. The Club returned to Soldier Field as well as opened a new 50,000 square foot business office in the heart of the city. With tremendous growth and expansion, the Club is laying the foundation for an ambitious vision that will transform the Club in the coming years.
Position Overview:
Chicago Fire FC is hiring a data analyst to work with the club’s sporting staff. The data analyst will be responsible for delivering data-driven metrics, predictive models, analysis, and visualizations. This position will support Football Operations stakeholders by deriving actionable insights from varied datasets. The analyst will work with colleagues in the analytics department to set data standards and best practices across the club.
Job Responsibilities:
Collaborate with analytics department colleagues to develop models and analyses to inform football operations decision-making",3.8 ★,Chicago Fire FC3.8 ★,"Bridgeview, IL",-1,51 to 200 Employees,-1,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $25 million (USD),-1
31,Data Analyst,$67K - $100K (Glassdoor est.),"Aura is on a mission to create a safer internet. In a world where our lives are increasingly online, Aura's category-defining suite of intelligent digital safety products help millions of customers protect themselves against digital threats, and that number is growing rapidly. This is an exciting phase at Aura, and our team of over 500 people worldwide is guided by a leadership slate that's successfully grown startups into multi-billion dollar organizations.
Come join us for the ride!
About the Role:
The Data Analyst position is central to leading business analytics process functions supporting global Aura Business Units. In addition to managing local analytics requirements, this role will partner with several business leaders providing value-adding analysis, proactive support to provide meaningful reporting and analysis, and KPIs to help guide the business.",4.3 ★,Aura4.3 ★,"Boston, MA",-1,201 to 500 Employees,2017,Company - Private,Software Development,Information Technology,$100 to $500 million (USD),-1
32,Data Analyst,$55K - $77K (Glassdoor est.),"AIPSO is a management organization and service provider for various insurance industry groups responsible for administering the residual market. We are a national organization that serves local customer needs. Centralization and standardization are key to many AIPSO services because of the inherent economies of scale and other efficiencies. However, our organization is based on customer focus and recognizes the need for flexibility in serving customer groups with diverse interests.

Essential Duties and Responsibilities::
Support operations and conduct data analytics projects to provide information and insights to stakeholders
for decision-making or solution development.
Implement data standards and deploy automation tools to extract, synthesize, and validate data from
different sources and transform data into usable metrics.
integrity.
decision-making.
including dashboards, infographics, reports, and models to inform and support decision-making.
quality assurance professionals, or researching data errors.


Bachelor's degree (BA/BS) majoring in mathematics, statistics, or related field from a four-year college or university. Additional appropriate experience may be considered in lieu of a degree.


3 or more years experience in the data analysis field required Experience using databases, spreadsheets, statistical software, and computer languages to compile and categorize data. Adhere strictly to procedures and quality control standards.


Strong spreadsheet and technical skills to use databases and pivot tables.
consider a wide range of alternatives before acting.
information and respond to questions from groups or individuals.
exhibits.",3.9 ★,AIPSO3.9 ★,"Johnston, RI",-1,201 to 500 Employees,1972,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1
33,Data Analyst,$82K - $132K (Employer est.),"Job Requisition ID #
23WD70345
Position Overview
We’re growing our Cloud Spend Management team within Autodesk’s Vendor Platform organization. The team is seeking an experienced analyst to provide business and financial governance support for our public cloud consumption, and to assist in managing the cloud spend and providing guidance on opportunities for cost optimization.
Responsibilities
Support development and DevOps teams in understanding their cloud bills based on their business goals and budget
Provide summaries and detailed usage statistics for resources across public clouds, offering actionable intelligence to right-size and scale services efficiently

Salary is one part of Autodesk’s competitive package. For U.S.-based roles, we expect a starting base salary between $81,800 and $132,330. Offers are based on the candidate’s experience and geographic location, and may exceed this range. In addition to base salaries, we also have a significant emphasis on annual cash bonuses, commissions for sales roles, stock grants, and a comprehensive benefits package.",4.2 ★,Autodesk4.2 ★,"Novi, MI",-1,10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),-1
